Date,Trading Symbol,Lot Size,ATR %,Blank Candle %,Supporting1,Supporting2
03-Oct-17,TATAMOTORS17OCTFUT,1500,2.6521912573175591531755915300,1.87,6.6,401.5
03-Oct-17,RELINFRA17OCTFUT,1300,3.4350965907862810450489194700,9.33,2.33,465.05
03-Oct-17,ASHOKLEY17OCTFUT,7000,2.8776475817185296506904955300,6.13,2.15,123.1
03-Oct-17,DHFL17OCTFUT,1500,4.8795353310416810697716728800,4.27,2.09,549.65
03-Oct-17,HINDPETRO17OCTFUT,1575,4.5329145002872071227741330800,2.67,2,426.8
03-Oct-17,DIVISLAB17OCTFUT,800,5.5771239326635699678644463900,2.13,1.67,855.75
03-Oct-17,GAIL17OCTFUT,2000,3.111392514706366232941923200,5.07,1.54,419.05
03-Oct-17,YESBANK17OCTFUT,1750,2.5081986415190342857142857100,1.87,1.4,350
03-Oct-17,L&TFH17OCTFUT,4500,3.6345397772620502306509482300,2.67,1.38,195.1
03-Oct-17,VEDL17OCTFUT,3500,3.0584571436990739856801909300,1.6,1.23,314.25
03-Oct-17,AUROPHARMA17OCTFUT,800,3.4261054430834526133159835200,1.87,1.21,691.65
03-Oct-17,BPCL17OCTFUT,1800,3.6515684671818162529174623400,5.87,1.21,471.3
03-Oct-17,UPL17OCTFUT,1200,2.6387919358439499036608863200,9.33,1.21,778.5
03-Oct-17,IOC17OCTFUT,1500,3.5301174818240998751560549300,6.67,1.15,400.5
03-Oct-17,SUNPHARMA17OCTFUT,800,3.1559348776036959761549925500,3.2,1.14,503.25
03-Oct-17,RELCAPITAL17OCTFUT,1500,5.4837527727429180887372013700,1.6,1.07,586
03-Oct-17,BANKBARODA17OCTFUT,3500,3.0324001016515697674418604700,9.87,0.94,137.6
03-Oct-17,CANBK17OCTFUT,3084,3.0207771632215227272727272700,2.4,0.84,308
03-Oct-17,HINDALCO17OCTFUT,3500,3.0260530870612136325852036600,4.8,0.79,240.6
03-Oct-17,TATAGLOBAL17OCTFUT,4500,3.5812907408827502429543245900,4.8,0.7,205.8
04-Oct-17,BPCL17OCTFUT,1800,3.5565558430217604677874073300,6.13,3.01,478.85
