Date,Trading Symbol,Lot Size,ATR %,Blank Candle %,Supporting1,Supporting2
03-Oct-17,TATAMOTORS17OCTFUT,1500,2.6521912573175591531755915300,1.87,6.6,403.2
03-Oct-17,RELINFRA17OCTFUT,1300,3.4350965907862810450489194700,9.33,2.33,467.05
03-Oct-17,ASHOKLEY17OCTFUT,7000,2.8776475817185296506904955300,6.13,2.15,123.35
03-Oct-17,DHFL17OCTFUT,1500,4.8795353310416810697716728800,4.27,2.09,552.65
03-Oct-17,HINDPETRO17OCTFUT,1575,4.5329145002872071227741330800,2.67,2,426.9
03-Oct-17,DIVISLAB17OCTFUT,800,5.5771239326635699678644463900,2.13,1.67,856.7
03-Oct-17,GAIL17OCTFUT,2000,3.111392514706366232941923200,5.07,1.54,417.5
03-Oct-17,YESBANK17OCTFUT,1750,2.5081986415190342857142857100,1.87,1.4,351.05
03-Oct-17,L&TFH17OCTFUT,4500,3.6345397772620502306509482300,2.67,1.38,195.75
03-Oct-17,VEDL17OCTFUT,3500,3.0584571436990739856801909300,1.6,1.23,315.35
03-Oct-17,AUROPHARMA17OCTFUT,800,3.4261054430834526133159835200,1.87,1.21,695.45
03-Oct-17,BPCL17OCTFUT,1800,3.6515684671818162529174623400,5.87,1.21,471
03-Oct-17,UPL17OCTFUT,1200,2.6387919358439499036608863200,9.33,1.21,781.3
03-Oct-17,IOC17OCTFUT,1500,3.5301174818240998751560549300,6.67,1.15,400.3
03-Oct-17,SUNPHARMA17OCTFUT,800,3.1559348776036959761549925500,3.2,1.14,504.25
03-Oct-17,RELCAPITAL17OCTFUT,1500,5.4837527727429180887372013700,1.6,1.07,589.25
03-Oct-17,BANKBARODA17OCTFUT,3500,3.0324001016515697674418604700,9.87,0.94,138
03-Oct-17,CANBK17OCTFUT,3084,3.0207771632215227272727272700,2.4,0.84,309.6
03-Oct-17,HINDALCO17OCTFUT,3500,3.0260530870612136325852036600,4.8,0.79,241.9
03-Oct-17,TATAGLOBAL17OCTFUT,4500,3.5812907408827502429543245900,4.8,0.7,206.8
04-Oct-17,BPCL17OCTFUT,1800,3.5565558430217604677874073300,6.13,3.01,478.05
04-Oct-17,INDIACEM17OCTFUT,3500,3.9952377444379934210526315800,5.6,2.52,183.15
04-Oct-17,BHARATFORG17OCTFUT,1200,3.2278798625765991902834008100,9.87,1.21,617.65
04-Oct-17,AUROPHARMA17OCTFUT,800,3.3141014688681802107645519500,3.73,0.7,709
04-Oct-17,DHFL17OCTFUT,1500,4.7397899560498089867200291100,7.73,0.6,551.95
04-Oct-17,DLF17OCTFUT,5000,4.4023690381993191997611227200,9.07,0.57,168.35
04-Oct-17,RELINFRA17OCTFUT,1300,3.5936648133022081329252295600,6.13,0.5,458.75
04-Oct-17,GAIL17OCTFUT,2000,3.0947720622927244960293219300,2.4,0.48,433.9
04-Oct-17,RELCAPITAL17OCTFUT,1500,5.7945288048180392156862745100,2.67,0.44,563.7
04-Oct-17,CANBK17OCTFUT,3084,2.9419016872739889825016202200,6.93,0.42,308.7
04-Oct-17,ASHOKLEY17OCTFUT,7000,2.9750331722651449571253572900,6.4,0.37,122.8
04-Oct-17,TATAMOTORS17OCTFUT,1500,2.8319217997281490384615384600,0,0.37,417.8
04-Oct-17,SUNPHARMA17OCTFUT,800,3.0682973231087237640505321800,3.47,0.29,503.8
04-Oct-17,VEDL17OCTFUT,3500,2.9355992249284807541241162600,1.87,0.24,319.2
04-Oct-17,HINDALCO17OCTFUT,3500,2.9904472528355380794701986800,6.13,0.19,242.8
04-Oct-17,ICICIPRULI17OCTFUT,1300,3.4102480473508712487899322400,9.33,0.19,414.5
04-Oct-17,L&TFH17OCTFUT,4500,3.5809045797145099048109081600,9.6,0.1,195.35
04-Oct-17,BANKBARODA17OCTFUT,3500,3.0066369482398907501820830300,10.93,0.51,137.85
04-Oct-17,HINDPETRO17OCTFUT,1575,4.4055983707682006442705936500,11.47,3,435
04-Oct-17,IOC17OCTFUT,1500,3.4522328016651023219205037400,12,3,406
05-Oct-17,BPCL17OCTFUT,1800,3.5034362925646816826082484800,6.93,-0.83,485.4
05-Oct-17,DIVISLAB17OCTFUT,800,5.1180379907268754301445285600,4.8,0.6,875.85
05-Oct-17,DHFL17OCTFUT,1500,4.5591267009305588155637808100,8.27,0.55,557.35
05-Oct-17,PCJEWELLER17OCTFUT,3000,3.8477318769743589743589743600,8.8,0.45,369.4
05-Oct-17,AUROPHARMA17OCTFUT,800,3.232513836967542589144078900,4,0.28,728.3
05-Oct-17,HINDPETRO17OCTFUT,1575,4.272325915366835528537656200,4,0.28,444.25
05-Oct-17,BHARATFORG17OCTFUT,1200,3.1313828212462541752823286100,9.87,0.21,630.85
05-Oct-17,SUNPHARMA17OCTFUT,800,3.0410771540065070476926047500,0,0.21,520.25
05-Oct-17,RELCAPITAL17OCTFUT,1500,5.5383435944952165199965147700,1.33,-0.13,577.1
05-Oct-17,TATAMOTORS17OCTFUT,1500,2.8070615456777239995278007300,0.27,-0.13,424.9
05-Oct-17,IOC17OCTFUT,1500,3.4057737050262452294745082700,5.33,-0.06,410
05-Oct-17,GAIL17OCTFUT,2000,2.9673612948058493443122903300,7.47,-0.03,436.35
05-Oct-17,VEDL17OCTFUT,3500,2.8260974791431275462237543100,4,0.02,319.75
05-Oct-17,CANBK17OCTFUT,3084,2.8867420225283775427176566300,10.4,0.31,308.75
05-Oct-17,APOLLOTYRE17OCTFUT,3000,3.4115442483912115505335844300,11.47,-0.61,239.95
05-Oct-17,HINDALCO17OCTFUT,3500,2.8531260609362381149235221200,12.27,0.04,242.75
05-Oct-17,RELINFRA17OCTFUT,1300,3.464397503401641291437209800,12.8,0.53,465.65
05-Oct-17,M&MFIN17OCTFUT,2500,3.4590061113356785118053899400,13.07,-0.07,421
05-Oct-17,RECLTD17OCTFUT,6000,3.5327983450824886877828054300,14.4,0.19,155
05-Oct-17,DLF17OCTFUT,5000,4.2318360969628502850285028500,16.27,0.36,167.4
06-Oct-17,VEDL17OCTFUT,3500,2.7141286658044158291457286400,4,1.26,319.4
06-Oct-17,SUNPHARMA17OCTFUT,800,3.0271172702250681198910081700,1.6,0.82,514.9
06-Oct-17,DIVISLAB17OCTFUT,800,5.0455261325998146753923669400,8.8,0.75,866.25
06-Oct-17,L&TFH17OCTFUT,4500,3.3857171353791209927611168600,9.33,0.67,194.35
06-Oct-17,JETAIRWAYS17OCTFUT,1200,3.7816449055227356368840727900,8.27,0.62,490.65
06-Oct-17,PNB17OCTFUT,3500,2.9250241194412089157536834200,9.87,0.49,132.55
06-Oct-17,RELINFRA17OCTFUT,1300,3.3264791787216090002122691600,6.67,0.49,472.1
06-Oct-17,JUSTDIAL17OCTFUT,1200,4.1488894194077645267698553700,3.47,0.48,395.05
06-Oct-17,RELCAPITAL17OCTFUT,1500,5.465674976593371834740115500,3.2,0.4,565.95
06-Oct-17,DLF17OCTFUT,5000,4.0692011853559112149532710300,8.27,-0.32,171.7
06-Oct-17,TATAMOTORS17OCTFUT,1500,2.7042796137135601228443184500,3.47,-0.31,423.95
06-Oct-17,AUROPHARMA17OCTFUT,800,3.2033329498381638284983509500,2.93,0.29,744
06-Oct-17,APOLLOTYRE17OCTFUT,3000,3.3009865049738339591155611200,9.87,-0.21,240.7
06-Oct-17,HINDPETRO17OCTFUT,1575,4.2577095693265924480661081100,6.67,0.15,437.55
06-Oct-17,BANKBARODA17OCTFUT,3500,2.8150802762922277936962750700,9.6,0.14,140
06-Oct-17,IOC17OCTFUT,1500,3.3178344919192398465925853100,9.6,-0.06,406.2
06-Oct-17,BPCL17OCTFUT,1800,3.4570985825644449073109768800,9.07,-0.02,480.45
06-Oct-17,HINDALCO17OCTFUT,3500,2.764345219325374870197300100,10.67,0.1,241.85
06-Oct-17,ARVIND17OCTFUT,2000,2.9780762165633342057053127500,11.47,0.97,383.4
06-Oct-17,CANBK17OCTFUT,3084,2.7662141981909677419354838700,11.73,0.65,311.55
09-Oct-17,AUROPHARMA17OCTFUT,800,3.0773408056875737265415549600,6.4,1.05,747.65
09-Oct-17,SUNPHARMA17OCTFUT,800,2.982611344346755941154281400,2.13,-0.45,533
09-Oct-17,DLF17OCTFUT,5000,3.9487238775233100233100233100,4.8,0.35,172.2
09-Oct-17,BANKBARODA17OCTFUT,3500,2.7220469462205218617771509200,9.07,-0.21,142.1
09-Oct-17,TATAMOTORS17OCTFUT,1500,2.6667194120403907261386371700,5.33,-0.2,425.4
09-Oct-17,VEDL17OCTFUT,3500,2.6580907795868042182485098600,2.67,0.2,327.7
09-Oct-17,HINDALCO17OCTFUT,3500,2.7875959519331765643682742100,4,-0.18,251.5
09-Oct-17,DIVISLAB17OCTFUT,800,4.7977361210343280129539671500,8.27,0.16,866.9
09-Oct-17,L&TFH17OCTFUT,4500,3.3344318559058293238794631600,4.8,-0.08,198.45
09-Oct-17,GAIL17OCTFUT,2000,3.0163586829300411280846063500,7.73,0.07,451.75
09-Oct-17,CANBK17OCTFUT,3084,2.6626421166973187371093130300,7.47,-0.05,315.85
09-Oct-17,PNB17OCTFUT,3500,2.9122063029336446552353155800,7.47,-0.04,137.2
09-Oct-17,RELCAPITAL17OCTFUT,1500,5.4918884642845903418339663600,2.4,0.02,555.65
09-Oct-17,RELINFRA17OCTFUT,1300,3.2506901371795377438507209500,10.13,-0.06,472.45
09-Oct-17,HINDPETRO17OCTFUT,1575,4.0790732882924682904927601300,10.13,0,446.15
09-Oct-17,JINDALSTEL17OCTFUT,4500,3.9562476246008576104746317500,10.67,0.16,153.05
09-Oct-17,IOC17OCTFUT,1500,3.2336464580888942377124151500,11.2,-0.11,415.9
