Date,Trading Symbol,Lot Size,ATR %,Blank Candle %,Supporting1,Supporting2
01-Aug-19,IBULHSGFIN19AUGFUT,800,7.7186064198998132935026138900,0,531.05,0
01-Aug-19,RBLBANK19AUGFUT,1200,6.7886114995687794008417925200,0.8,404,0
01-Aug-19,JINDALSTEL19AUGFUT,3200,5.333171407160643967431532200,4.53,135.2,0
01-Aug-19,TATAMOTORS19AUGFUT,3000,5.2269473664451696165191740400,0.8,136,0
01-Aug-19,ZEEL19AUGFUT,1300,4.9032771100990873893805309700,0.27,363.45,0
01-Aug-19,TVSMOTOR19AUGFUT,1100,4.7748517439722320336910745800,4.53,363.7,0
01-Aug-19,ESCORTS19AUGFUT,1100,4.6081188572280668156186828400,5.33,471.95,0
01-Aug-19,BANKBARODA19AUGFUT,4500,4.5731727652508809746954076900,2.93,107.15,0
01-Aug-19,JSWSTEEL19AUGFUT,2000,4.5708899919252895346388713400,3.73,237.65,0
01-Aug-19,VEDL19AUGFUT,3000,4.3098754721642959117456197300,4.27,154,0
01-Aug-19,INDUSINDBK19AUGFUT,400,4.3078079481465336022932370700,0,1402,0
01-Aug-19,CANBK19AUGFUT,2000,4.1575006408330203045685279200,3.47,236.4,0
01-Aug-19,UPL19AUGFUT,900,4.138307957069937001259974800,1.6,596.05,0
01-Aug-19,TATASTEEL19AUGFUT,1061,4.0130202660677930795046869600,0.27,432.85,0
01-Aug-19,BIOCON19AUGFUT,1800,3.9718738672033634959170161100,9.6,227.55,0
01-Aug-19,GRASIM19AUGFUT,750,3.8495363786531362973298661800,8,781.4,0
01-Aug-19,DLF19AUGFUT,2800,3.8225131164014257648049396600,1.87,178.1,0
01-Aug-19,AUROPHARMA19AUGFUT,1000,3.7710206249922975929978118200,0.8,568.2,0
01-Aug-19,SUNPHARMA19AUGFUT,1100,3.6178921312603632103104862300,0.27,425.5,0
01-Aug-19,COALINDIA19AUGFUT,2200,3.4119811529291660552702372200,5.07,204.1,0
01-Aug-19,AXISBANK19AUGFUT,1200,3.1263564002254709983681946300,0,678.2,0
01-Aug-19,HINDALCO19AUGFUT,3500,3.0958519313316924691681973200,6.13,190.35,0
01-Aug-19,BHARTIARTL19AUGFUT,1851,3.0701379691568720379146919400,0,337.4,0
01-Aug-19,SBIN19AUGFUT,3000,2.8206046074757134256472004800,0,333.8,0
01-Aug-19,M&M19AUGFUT,1000,2.738955734759600,7.47,550,0
01-Aug-19,TECHM19AUGFUT,1200,2.7277202955762200392927308400,2.4,638.75,0
01-Aug-19,AMBUJACEM19AUGFUT,2500,3.1447367749934819217434373500,10.13,202.2,0
01-Aug-19,ADANIPORTS19AUGFUT,2500,2.8693266942073897497020262200,10.67,379.15,0
01-Aug-19,RECLTD19AUGFUT,6000,4.4844102874526345811051693400,10.93,139.6,0
01-Aug-19,BPCL19AUGFUT,1800,3.2124820300787843704775687400,10.93,338.05,0
01-Aug-19,HINDPETRO19AUGFUT,2100,4.1013078671012591618116895300,11.47,265.9,0
01-Aug-19,CIPLA19AUGFUT,1000,2.5774414446510458645173671100,12.53,518.7,0
01-Aug-19,ONGC19AUGFUT,3750,3.2646107793641339575081022700,13.33,138.5,0
01-Aug-19,NTPC19AUGFUT,4800,2.6292987852892216515211378900,13.33,124.3,0
01-Aug-19,JUSTDIAL19AUGFUT,1400,4.3593123137801005025125628100,13.6,682.1,0
01-Aug-19,PFC19AUGFUT,6200,4.2062875035368473804100227800,13.87,109.75,0
01-Aug-19,ICICIPRULI19AUGFUT,1500,3.0192000875133540759178593700,14.93,397.45,0
01-Aug-19,CHOLAFIN19AUGFUT,2500,4.7080192338995185827074908500,15.47,257.9,0
01-Aug-19,IOC19AUGFUT,3500,3.5556419878544149318018664800,15.47,137.75,0
01-Aug-19,BEL19AUGFUT,6000,4.6696414906759104186952288200,16.27,100.8,0
01-Aug-19,HAVELLS19AUGFUT,1000,3.4891500207497133116379978300,17.07,647.75,0
01-Aug-19,STAR19AUGFUT,1200,4.4873105382675055130367103400,17.33,369.35,0
01-Aug-19,SUNTV19AUGFUT,1000,3.8719161173517511374457729300,17.33,472.1,0
01-Aug-19,ADANIENT19AUGFUT,4000,4.545264887826630434782608700,19.47,129,0
