Date,Trading Symbol,Lot Size,ATR %,Blank Candle %,Supporting1,Supporting2
30-Jul-19,IBULHSGFIN19AUGFUT,800,7.1238588082911381097016258700,0.27,-1.91,537.5
30-Jul-19,DLF19AUGFUT,2800,3.6471473331232543884090275800,6.13,-1.89,179.9
30-Jul-19,UPL19AUGFUT,900,4.1891552877834744675391326700,5.33,0.82,588.4
30-Jul-19,HAVELLS19AUGFUT,1000,3.1378556537651161043060043600,1.6,-0.81,666.7
30-Jul-19,AXISBANK19AUGFUT,1200,2.5323674237006317250954529700,0,0.79,724.05
30-Jul-19,JSWSTEEL19AUGFUT,2000,3.903514721673198011599005800,4.8,0.68,244.9
30-Jul-19,IOC19AUGFUT,3500,3.3206278668390669077757685400,8.8,0.54,138.55
30-Jul-19,HINDALCO19AUGFUT,3500,3.0269606422039068564036222500,8.8,-0.44,191.9
30-Jul-19,TATAMOTORS19AUGFUT,3000,5.344144390075434387495456200,0.53,0.33,138.3
30-Jul-19,TATASTEEL19AUGFUT,1061,3.5449687959216980043834352300,0.27,0.33,438.65
30-Jul-19,CANBK19AUGFUT,2000,4.1169736267322435362802335300,2.67,0.29,240.7
30-Jul-19,YESBANK19AUGFUT,2200,8.377382322324654353562005280,0,0.26,95.15
30-Jul-19,M&M19AUGFUT,1000,2.7867769107357678748983096800,6.93,-0.24,555
30-Jul-19,SUNPHARMA19AUGFUT,1100,3.1257285237609094072613385900,4.8,-0.24,431
30-Jul-19,RBLBANK19AUGFUT,1200,5.3526480114812103682278340200,6.4,0.21,450
30-Jul-19,VEDL19AUGFUT,3000,4.1453860018489752650176678400,4.53,-0.1,156.2
30-Jul-19,BANKBARODA19AUGFUT,4500,4.1552943936008899082568807300,2.67,0.09,109.5
30-Jul-19,ZEEL19AUGFUT,1300,4.3089561591234405269275474600,2.67,0.08,389.3
30-Jul-19,JINDALSTEL19AUGFUT,3200,5.1963291500174577516531961800,4.27,-0.07,136.8
30-Jul-19,ESCORTS19AUGFUT,1100,4.6253805122011251459505360400,5.87,-0.01,471
