Date,Trading Symbol,Lot Size,ATR %,Blank Candle %,Supporting1,Supporting2
15-Jul-19,INDIGO19JULFUT,600,5.1564488129005048457825109600,0.53,-4.19,1356.85
15-Jul-19,SUNPHARMA19JULFUT,1100,3.4807460348303164091243561400,0.27,2.1,407.7
15-Jul-19,TATASTEEL19JULFUT,1061,3.4455588736959610911397758500,0,1.08,472.9
15-Jul-19,RECLTD19JULFUT,6000,4.5819000753958803763440860200,7.47,1.01,148.8
15-Jul-19,ZEEL19JULFUT,1300,4.6344419266159110350727117200,7.2,-0.86,350.7
15-Jul-19,YESBANK19JULFUT,2200,7.3741815059177282377919320600,1.6,0.85,94.2
15-Jul-19,TITAN19JULFUT,750,3.555085325663557936796222300,0.27,0.8,1101.2
15-Jul-19,AUROPHARMA19JULFUT,1000,3.5077297426183969785984053700,5.87,0.71,595.75
15-Jul-19,UPL19JULFUT,900,3.9816524614176970081739544500,6.93,0.63,630.05
15-Jul-19,JINDALSTEL19JULFUT,3200,5.4400114021125710176195613100,1.33,0.5,139.05
15-Jul-19,JUSTDIAL19JULFUT,1400,4.1619268453511678366305041500,9.6,0.45,783.5
15-Jul-19,BANKBARODA19JULFUT,4500,3.4007186220295117109964271500,8.27,-0.36,125.95
15-Jul-19,LICHSGFIN19JULFUT,1100,3.1517244467703551785214878300,9.87,0.31,536.35
15-Jul-19,CANBK19JULFUT,2000,3.4181784080712482419127988700,2.13,-0.28,284.4
15-Jul-19,DLF19JULFUT,2800,3.7339568929156110663443459600,9.6,0.19,186.15
16-Jul-19,ZEEL19JULFUT,1300,4.5746288952178819444444444400,6.93,-1.13,345.6
16-Jul-19,IBULHSGFIN19JULFUT,800,6.4421273242429924094217074900,0,-1.07,638.95
16-Jul-19,YESBANK19JULFUT,2200,7.4382468436274463519313304700,0.27,0.86,93.2
16-Jul-19,BANKBARODA19JULFUT,4500,3.5118068784023196721311475400,8.53,-0.82,122
16-Jul-19,UPL19JULFUT,900,3.9126090260850169910410874300,2.93,-0.76,647.4
16-Jul-19,TATAMOTORS19JULFUT,3000,3.9484802957976576576576576600,3.2,-0.71,160.95
16-Jul-19,RBLBANK19JULFUT,1200,3.0021832104916020458670186400,1.33,-0.68,606.1
16-Jul-19,TATASTEEL19JULFUT,1061,3.4581408287494127695921417900,0.27,-0.68,468.3
16-Jul-19,INDUSINDBK19JULFUT,400,3.871486927591587011050098300,0.27,0.67,1475.1
16-Jul-19,HINDPETRO19JULFUT,2100,3.3443018670422288209606986900,8.27,0.61,286.25
16-Jul-19,SUNPHARMA19JULFUT,1100,3.4533467295912992079442014400,0,-0.51,422.95
16-Jul-19,BPCL19JULFUT,1800,3.2081438204523891767415083500,9.6,0.46,347.4
16-Jul-19,JSWSTEEL19JULFUT,2000,3.4396015996064144676139509100,7.73,-0.37,270.95
16-Jul-19,CANBK19JULFUT,2000,3.6190709659914092734574662300,1.07,-0.33,273.9
16-Jul-19,L&TFH19JULFUT,4500,3.767473522125733113673805600,5.6,0.25,121.4
17-Jul-19,YESBANK19JULFUT,2200,7.1787477939263842079922965800,0.53,4.48,103.85
17-Jul-19,BPCL19JULFUT,1800,3.0990911165004655099449851900,9.6,1.28,354.45
17-Jul-19,IBULHSGFIN19JULFUT,800,6.3350872244034965575926355700,1.07,-0.98,646.35
17-Jul-19,RBLBANK19JULFUT,1200,3.3624829840170426065162907300,1.33,0.77,578.55
17-Jul-19,JSWSTEEL19JULFUT,2000,3.3159863157126250456370938300,6.93,-0.69,273.9
17-Jul-19,INDUSINDBK19JULFUT,400,3.7205595878310412707032310600,0,0.65,1473.2
17-Jul-19,LICHSGFIN19JULFUT,1100,3.1032533527815891298479258500,6.93,-0.49,555.65
17-Jul-19,DLF19JULFUT,2800,3.5627060245822942252417036800,5.33,-0.47,191.35
17-Jul-19,FEDERALBNK19JULFUT,7000,2.7990380626530130597014925400,5.87,-0.42,107.2
17-Jul-19,TITAN19JULFUT,750,3.4498050968033729535770352100,2.4,-0.4,1114.75
17-Jul-19,INDIGO19JULFUT,600,5.0727336531267254800207576500,0,-0.36,1445.25
17-Jul-19,UPL19JULFUT,900,3.8539937724176663031624863700,7.2,0.33,641.9
